Team,category,general_league_position,finance _live_games_televised,finance _tv_revenue,general_matches_played,general_won,general_draw,general_lost,attack_scored,defence_goals_conceeded,general_goal_difference,general_points,general_squad_size,general_squad_average_age,general_squad_foreigners,finance _team_market,finance _market_average,attack_passes,attack_passes_through,attack_passes_long,attack_passes_back,attack_crosses,attack_corners_taken,attack_shots,attack_shots_on_target,attack_goals_headed,attack_goals_penalty,attack_goals_box,attack_goals_outsidebox,general_card_yellow,general_card_red,attack_goals_counter,attack_goals_freekick,defence_saves,defence_blocks,defence_interceptions,defence_tackles,defence_tackles_last_man,defence_clearances,defence_clearances_headed,defence_penalty_conceeded,attack_posession,attack_pass_accuracy
Manchester City,Champions League,1,26,150986355,38,32,2,4,95,23,72,98,25,27.1,20,1003200000,39987200,"26,581",112,"1,814","4,240",783,298,683,260,12,3,80,15,44,1,5,2,58,63,362,518,0,543,295,4,64,89
Liverpool,Champions League,2,29,152425146,38,30,7,1,89,22,67,97,24,26.8,16,836440000,34848000,"23,638",98,"2,250","3,416",721,249,575,226,19,7,84,5,38,2,6,1,76,78,314,610,2,639,317,1,58.8,84.4
Chelsea,Champions League Qualification,3,25,146030216,38,21,9,8,63,39,24,72,26,28.1,19,779460000,29981600,"25,070",146,"1,774","3,874",692,215,607,198,8,5,54,9,49,0,1,1,85,73,351,618,2,593,330,2,59.9,87.6
Tottenham,Champions League Qualification,4,26,145230801,38,23,2,13,67,39,28,71,25,27,17,735240000,29409600,"21,295",87,"2,267","3,191",643,194,537,189,14,4,53,14,56,3,5,2,121,112,326,626,3,770,411,5,56.7,83.2
Arsenal,Europa League,5,25,142193180,38,21,7,10,73,51,22,70,26,27.5,18,701800000,26989600,"20,805",65,"2,062","3,102",605,209,467,170,5,4,62,11,72,2,3,3,133,118,412,609,2,762,404,7,56.1,83.3
Manchester United,Europa League,6,27,142512868,38,19,9,10,65,54,11,66,26,27.3,21,550440000,22017600,"19,202",63,"2,242","2,634",638,200,526,225,4,9,55,10,73,4,4,2,122,128,355,581,2,785,370,6,53.3,82.3
Wolverhampton,Europa League Qualification,7,15,127165114,38,16,9,13,47,46,1,57,23,27.2,13,369600000,16068800,"16,618",51,"2,552","2,515",622,195,477,152,10,4,44,3,72,1,5,2,100,148,501,720,2,824,464,4,47.4,78.2
Everton,No UEFA Competitions,8,18,128603905,38,15,9,14,54,46,8,54,26,27,16,305360000,11748000,"16,494",44,"2,310","2,362",814,215,498,169,13,2,45,10,55,4,3,0,94,85,456,700,4,825,430,5,51,77.3
Leicester,No UEFA Competitions,9,15,123328078,38,15,7,16,51,48,3,52,26,29,18,284240000,10929600,"17,219",88,"2,335","2,593",779,210,515,184,9,5,43,8,57,5,8,3,90,96,436,676,4,945,500,5,50.8,79.2
West Ham,No UEFA Competitions,10,16,122528663,38,15,7,16,52,55,-3,52,26,28.3,18,234212000,9011200,"16,358",75,"2,315","2,273",630,188,441,157,10,5,47,5,59,1,3,0,148,141,457,723,5,855,397,5,49,78.7
Watford,No UEFA Competitions,11,10,113895527,38,14,8,16,52,59,-7,50,25,26.8,12,229240000,9169600,"15,462",32,"2,437","2,314",570,177,437,152,8,1,44,8,77,4,3,0,127,120,426,655,8,956,447,5,47.4,76.1
Crystal Palace,No UEFA Competitions,12,12,114215215,38,14,7,17,51,53,-2,49,27,26.8,22,223520000,8280800,"15,243",26,"2,259","2,233",577,205,493,148,5,10,43,8,58,2,2,2,113,141,446,730,2,940,467,5,46.6,76.8
Newcastle,No UEFA Competitions,13,19,120130418,38,12,9,17,42,48,-6,45,20,26.1,14,214060000,10700800,"13,490",50,"2,680","1,999",711,181,446,142,12,1,40,2,57,2,1,1,95,134,506,714,4,"1,120",564,7,42.9,72.9
 Bournemouth,No UEFA Competitions,14,10,108139973,38,13,6,19,56,70,-14,45,25,26.2,12,200288000,8008000,"15,943",57,"1,932","2,249",613,191,446,163,11,7,50,6,60,1,9,0,110,152,371,526,5,"1,019",515,5,47.7,78.1
Burnley,No UEFA Competitions,15,11,107340558,38,11,7,20,45,68,-23,40,26,27.3,20,176440000,6784800,"13,011",35,"2,898","2,046",693,140,360,116,13,2,43,2,75,1,1,0,140,222,365,583,5,"1,080",539,5,43.4,70.3
Southampton,No UEFA Competitions,16,10,104302937,38,9,12,17,45,65,-20,39,28,28,22,160072000,5720000,"14,297",35,"2,394","2,040",664,193,483,162,4,4,31,14,71,3,1,3,114,153,548,699,4,"1,068",502,3,45.4,74
Brighton,No UEFA Competitions,17,13,105741728,38,9,9,20,35,60,-25,36,23,28.4,16,152680000,6635200,"14,109",15,"2,623","2,072",636,156,371,108,10,5,34,1,60,4,4,0,111,170,463,681,4,921,499,10,44.1,74.8
Cardiff,Relegated,18,12,102704107,38,10,4,24,34,69,-35,34,25,29.7,10,152020000,6080800,"10,226",39,"2,513","1,418",562,168,417,126,4,3,29,5,66,1,0,0,141,147,528,655,4,978,448,8,39.1,63.9
Fulham,Relegated,19,13,101904692,38,7,5,26,34,81,-47,26,25,26.7,18,106920000,4276800,"17,699",33,"2,417","2,750",611,161,454,146,7,2,30,4,68,2,2,0,147,144,433,591,0,971,443,7,49.2,80.3
Huddersfield,Relegated,20,10,96628865,38,3,7,28,22,76,-54,16,28,28.5,27,85492000,3053600,"15,902",23,"2,603","2,492",769,162,400,118,8,1,17,5,55,4,1,1,114,130,530,710,2,658,246,8,47.1,75.8
